Company Name (GBO),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Boon Rawd Brewery Co Ltd,60.7,61.5,63.199999999999996,63.6,62.2,57.2,58.800000000000004,59.99999999999999,59.49999999999999,59.1
Thai Beverage PCL,32.199999999999996,32.3,30.5,30.4,32.4,37.8,36.300000000000004,34.9,35.4,36.099999999999994
Heineken NV,3.1,2.9,2.8,2.5999999999999996,2.3,2.1,2.1999999999999997,2.3,2.4,2.3
Others,2.5,2.1,2.0,2.0,1.7,1.5,1.5,1.6,1.5,1.3
San Miguel Corp,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
Thai Asia Pacific Brewery Co Ltd,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
Anheuser-Busch InBev NV,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1
Asahi Group Holdings Ltd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Asia Pacific Breweries Ltd,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
